vehicle,file,sample_index,sample_info,n_nodes,n_hard_only_material_nodes,hard_only_material_frac,n_hard_only_vectors_in_sample,hard_only_material_ids_in_sample,hard_only_min_dist_to_hic,hard_only_mean_dist_to_hic,hard_only_median_dist_to_hic,hard_only_top32_nearest_frac,hard_only_nodes_within_60,hard_only_nodes_within_150,hard_only_nodes_within_400,hard_only_frac_within_60,hard_only_frac_within_150,hard_only_frac_within_400
C201,batch_2.feather,4,A_10_3,74186,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_2.feather,5,A_10_4,71732,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_2.feather,6,A_10_5,71252,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_2.feather,7,A_10_6,69607,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_2.feather,8,A_10_7,63927,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_2.feather,9,A_10_8,52027,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_2.feather,10,A_11_1,80435,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_2.feather,11,A_11_2,78516,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_2.feather,12,A_11_3,77390,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_2.feather,13,C_2__4,64604,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_2.feather,14,A_11_4,74370,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_2.feather,15,A_11_5,74230,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_2.feather,16,A_11_6,73428,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_2.feather,17,A_11_7,66762,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_2.feather,18,A_11_8,53586,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_2.feather,19,A_12_6,75064,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_2.feather,20,A_12_7,69565,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_2.feather,21,A_12_8,53292,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_2.feather,22,A_13_9,48467,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_2.feather,23,A_13_0,69848,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_2.feather,24,C_2__5,60202,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_2.feather,25,A_12_0,75992,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_2.feather,26,A_12__1,73354,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_2.feather,27,A_12__2,69859,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_2.feather,28,A_12__3,66723,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_2.feather,29,A_12__4,68725,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_2.feather,30,A_12__5,69355,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_2.feather,31,A_13__1,67824,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_2.feather,32,A_13__2,64750,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_2.feather,33,A_13__3,60420,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_2.feather,34,A_13__4,59739,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_2.feather,35,C_2__6,53338,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_2.feather,36,C_7_0,64621,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
C201,batch_3.feather,0,A_13__5,61600,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
