vehicle,file,sample_info,age_label,hic_bucket,hic_true,E0_pred,E3_pred,E0_accuracy,E3_accuracy,E3_minus_E0_accuracy,E0_abs_error,E3_abs_error,E3_minus_E0_abs_error,sample_index,n_nodes,n_hard_only_material_nodes,hard_only_material_frac,n_hard_only_vectors_in_sample,hard_only_material_ids_in_sample,hard_only_min_dist_to_hic,hard_only_mean_dist_to_hic,hard_only_median_dist_to_hic,hard_only_top32_nearest_frac,hard_only_nodes_within_60,hard_only_nodes_within_150,hard_only_nodes_within_400,hard_only_frac_within_60,hard_only_frac_within_150,hard_only_frac_within_400
CY02C,batch_5.feather,A_9__4,Adult,500-1k,930.3699951171875,978.613525390625,588.9683837890625,0.9507021627826158,0.6330474831304908,-0.317654679652125,48.2435302734375,341.401611328125,293.1580810546875,0,54330,792,0.014577581446714522,1,1000028,238.02504290159897,274.5413674655223,276.26663769555756,0.0,0,0,792,0.0,0.0,1.0
CY02C,batch_2.feather,A_15__7,Adult,>2k,2222.800048828125,1784.4776611328125,4524.30078125,0.8028062002579139,0.49130244789206895,-0.311503752365845,438.3223876953125,2301.500732421875,1863.1783447265625,35,12804,7425,0.5798969072164949,1,1000028,1.6526576617150592,189.96967023778907,201.27712114096093,1.0,446,2275,7425,0.06006734006734007,0.3063973063973064,1.0
CY02C,batch_1.feather,A_10_4,Adult,1k-1.5k,1442.010009765625,1047.4117431640625,600.4317016601562,0.726355390094901,0.41638525224783046,-0.30997013784707056,394.5982666015625,841.5783081054688,446.98004150390625,25,50539,2879,0.0569659075169671,1,1000028,144.70453626218813,238.1756272777524,243.4198584206532,0.0,0,26,2879,0.0,0.009030913511635985,1.0
CY02C,batch_4.feather,A_9__1,Adult,500-1k,975.760009765625,581.5025024414062,281.7181701660156,0.5959482830015566,0.28871665916466854,-0.307231623836888,394.25750732421875,694.0418701171875,299.78436279296875,35,48508,1443,0.029747670487342295,1,1000028,205.96556548884362,261.8689754984257,264.65767337939064,0.0,0,0,1443,0.0,0.0,1.0
CY02C,batch_5.feather,A_8_0,Adult,500-1k,751.3400268554688,567.436767578125,336.7637023925781,0.755232980136808,0.44821743865026314,-0.3070155414865448,183.90325927734375,414.5763244628906,230.67306518554688,35,34568,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
M6,batch_5.feather,A_12_1,Adult,<500,300.5,291.3271179199219,200.091552734375,0.969474602062968,0.665862072327371,-0.30361252973559694,9.172882080078125,100.408447265625,91.23556518554688,18,16029,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
M6,batch_4.feather,A_11__5,Adult,500-1k,709.6799926757812,495.4659729003906,285.10919189453125,0.6981540666410547,0.40174331365825044,-0.2964107529828043,214.21401977539062,424.57080078125,210.35678100585938,2,24534,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
CY02C,batch_5.feather,A_13__4,Adult,<500,486.1499938964844,318.6107482910156,174.9519805908203,0.6553754032523083,0.3598724319393342,-0.29550297131297404,167.53924560546875,311.197998046875,143.65875244140625,27,29501,9809,0.33249720348462763,1,1000028,2.665304774945017,190.996598959982,198.0020386692111,1.0,457,2841,9809,0.046589866449179326,0.28963197063920887,1.0
M6,batch_5.feather,A_13_4,Adult,<500,278.3599853515625,356.1710510253906,135.9257354736328,0.7815345591680859,0.48830917741988533,-0.29322538174820056,77.81106567382812,142.4342498779297,64.62318420410156,30,12831,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
CY02C,batch_5.feather,A_14__5,Adult,<500,481.25,270.4347229003906,130.56199645996094,0.5619422813514611,0.271297654981737,-0.29064462636972405,210.81527709960938,350.68798828125,139.87271118164062,32,18336,9929,0.5415030541012217,1,1000028,2.5132928636571763,190.20036817923062,199.57619643026214,1.0,455,2823,9929,0.04582536005640044,0.2843186625037768,1.0
CY02C,batch_1.feather,A_8_1,Adult,500-1k,750.8800048828125,534.435302734375,319.7720642089844,0.7117452845448756,0.4258630701704332,-0.28588221437444244,216.4447021484375,431.1079406738281,214.66323852539062,8,33755,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
CY02C,batch_4.feather,A_8__1,Adult,500-1k,748.6300048828125,571.4832763671875,357.6655578613281,0.7633721232648766,0.47776011584963873,-0.28561200741523785,177.146728515625,390.9644470214844,213.81771850585938,27,34964,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
M6,batch_3.feather,A_10__4,Adult,1k-1.5k,1218.9100341796875,1595.6700439453125,583.3626098632812,0.7638860169148244,0.4785936562216239,-0.28529236069320046,376.760009765625,635.5474243164062,258.78741455078125,20,30894,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
M6,batch_5.feather,A_12_2,Adult,<500,330.75,287.38134765625,193.10104370117188,0.8688778462773998,0.5838277965265968,-0.28505004975080306,43.36865234375,137.64895629882812,94.28030395507812,19,16293,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
CY02C,batch_1.feather,A_8_2,Adult,500-1k,781.8400268554688,512.5399169921875,294.2460632324219,0.6555559953275912,0.37635072793071045,-0.2792052673968808,269.30010986328125,487.5939636230469,218.29385375976562,9,34469,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
CY02C,batch_5.feather,A_13__6,Adult,>2k,2131.85009765625,1282.8731689453125,691.9972534179688,0.6017651852518616,0.324599395698013,-0.27716578955384863,848.9769287109375,1439.852783203125,590.8758544921875,29,39113,6307,0.1612507350497277,1,1000028,1.9937639310851816,174.59397188534973,177.1573519566279,1.0,444,2564,6307,0.0703979705089583,0.40653242429047093,1.0
CY02C,batch_2.feather,A_14_5,Adult,<500,446.8800048828125,304.89013671875,184.44644165039062,0.6822639934375735,0.4127426594053115,-0.26952133403226197,141.9898681640625,262.4335632324219,120.44369506835938,13,19100,9929,0.5198429319371728,1,1000028,2.5132928636571763,190.20031532599984,199.57619643026214,1.0,455,2823,9929,0.04582536005640044,0.2843186625037768,1.0
CY02C,batch_1.feather,C_7_4,Child,500-1k,799.8099975585938,630.6505126953125,415.1972961425781,0.7885004121233322,0.5191199127417271,-0.26938049938160513,169.15948486328125,384.6127014160156,215.45321655273438,3,26044,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
CY02C,batch_3.feather,C_7__8,Child,500-1k,964.0900268554688,1183.4266357421875,1739.7015380859375,0.8146597327943683,0.5541697847299626,-0.26048994806440573,219.33660888671875,775.6115112304688,556.27490234375,25,28308,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
CY02C,batch_1.feather,A_9_4,Adult,1k-1.5k,1018.8099975585938,847.13818359375,583.8045043945312,0.8314977136303862,0.5730258888247272,-0.258471824805659,171.67181396484375,435.0054931640625,263.33367919921875,19,43953,792,0.01801924783291243,1,1000028,238.02504290159897,274.5413674655223,276.26663769555756,0.0,0,0,792,0.0,0.0,1.0
M6,batch_4.feather,A_12__1,Adult,<500,281.2900085449219,289.6307678222656,200.51593017578125,0.9712020952053612,0.7128441255806601,-0.25835796962470103,8.34075927734375,80.77407836914062,72.43331909179688,6,16509,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
M6,batch_5.feather,A_10_5,Adult,1k-1.5k,1434.030029296875,1709.9229736328125,839.1582641601562,0.838651829006198,0.5851748199245222,-0.2534770090816757,275.8929443359375,594.8717651367188,318.97882080078125,5,35312,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
CY02C,batch_0.feather,C_6_3,Child,500-1k,692.1900024414062,737.866943359375,475.8226318359375,0.9380959652291646,0.6874162154288205,-0.25067974980034413,45.67694091796875,216.36737060546875,170.6904296875,33,16398,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
M6,batch_4.feather,A_9_1,Adult,>2k,2406.219970703125,1748.975830078125,1151.8056640625,0.7268561691668839,0.4786784575335102,-0.2481777116333737,657.244140625,1254.414306640625,597.170166015625,34,37376,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
