vehicle,group,file,sample_index,sample_info,n_nodes,bbox_x,bbox_y,bbox_z,bbox_diag,hic_rel_x,hic_rel_y,hic_rel_z,hic_center_dist_norm,hic_value,age_group,age_label
EP32,normal,batch_2.feather,22,A_10_6,66776,597.4912719726562,584.6693420410156,399.9140853881836,926.6959238596252,0.49900596129816505,0.5121769016134748,0.7109405933588022,0.09135692572545846,1445.56,1,Adult
EP32,normal,batch_2.feather,23,C_1__4,91362,549.5670776367188,595.8645401000977,387.71141052246094,898.5536493833745,0.45577201824959723,0.49995899547742545,0.7666048847348946,0.11817334553161532,868.88,0,Child
EP32,normal,batch_2.feather,24,A_10_7,59694,596.9441528320312,529.2155456542969,399.5373840332031,892.2115985586726,0.49838952926432506,0.5662779134256066,0.7429994574380369,0.11570518925584687,1618.99,1,Adult
EP32,normal,batch_2.feather,25,A_10_8,48862,595.5159912109375,434.3708190917969,394.2079849243164,835.8930790744196,0.4994581863440061,0.6874742288489265,0.7583876408132515,0.15601218975335523,1579.72,1,Adult
EP32,normal,batch_2.feather,26,A_11_1,70885,590.1493530273438,598.0138702392578,443.1420021057129,949.8798249817647,0.4960864709187531,0.500800034448132,0.6582607374541984,0.07387421850971065,983.4,1,Adult
EP32,normal,batch_2.feather,27,A_11_2,70884,588.4823608398438,597.8140106201172,450.62603759765625,952.2378411270527,0.49409482045626274,0.500782511470734,0.661366721114525,0.07645205415303641,1051.15,1,Adult
EP32,normal,batch_2.feather,28,A_11_3,70690,592.6670532226562,598.049900829792,447.4551200866699,953.4851883222556,0.4961802308547245,0.5008766476216133,0.6561842304059295,0.07333523125900407,1005.12,1,Adult
EP32,normal,batch_2.feather,29,A_11_4,68139,594.527587890625,595.8553848266602,445.5969467163086,952.3987249639033,0.4967814108495459,0.5006705573390234,0.651356013104949,0.07084438373303491,1001.39,1,Adult
EP32,normal,batch_2.feather,30,A_11_5,66605,596.9326171875,598.6732025146484,456.16544342041016,960.6378426037583,0.4982131714950589,0.5008703404333356,0.6532036516617482,0.07276029499283244,1690.53,1,Adult
EP32,normal,batch_2.feather,31,A_11_6,65454,597.8297729492188,583.610595703125,450.1279983520508,949.008419215496,0.4988163220092729,0.5135970179822299,0.6652737498207477,0.07883987937957798,2160.99,1,Adult
EP32,normal,batch_2.feather,32,A_11_7,59843,597.9013671875,527.4273071289062,440.9488830566406,911.0990762034776,0.49954538252266567,0.5678794644583467,0.6726399650813235,0.09233276006632006,4048.87,1,Adult
EP32,normal,batch_2.feather,33,A_11_8,46785,589.5919189453125,435.5144348144531,435.11417388916016,852.417619560163,0.5051695870895657,0.6882948891004466,0.688199552913773,0.13600172057858595,3371.6,1,Adult
EP32,normal,batch_2.feather,34,C_1__5,96751,530.8159942626953,585.5559387207031,380.1662368774414,877.0220891161935,0.4395407553255879,0.48853438256380793,0.7771727989771879,0.12582919171175463,929.25,0,Child
EP32,normal,batch_2.feather,35,C_0_0,78542,493.1144561767578,596.4778747558594,395.5870056152344,869.1586742220281,0.41988440729990584,0.4994941773133643,0.7516751082444287,0.12323599467359327,1046.18,0,Child
EP32,normal,batch_3.feather,0,A_12_1,59616,551.1387329101562,598.3135375976562,446.04465770721436,927.7331668403262,0.4930477149216448,0.5003674981954609,0.6690044810208552,0.08136087636656965,299.85,1,Adult
EP32,normal,batch_3.feather,1,A_12_2,59441,547.6605224609375,596.4014053344727,446.9816732406616,924.8888043219804,0.4865931814369623,0.500643232933524,0.6682391922064268,0.08169458639983719,285.37,1,Adult
EP32,normal,batch_3.feather,2,A_12_3,61794,569.630859375,596.6210212111473,447.1421003341675,938.2814166307377,0.4999557861877388,0.5022406464160134,0.6653093126998993,0.07879176091523231,333.04,1,Adult
EP32,normal,batch_3.feather,3,A_12_4,63376,573.1705932617188,595.0697784423828,447.76170349121094,939.7463026310921,0.4989654649072173,0.5024645695840274,0.6625745782427853,0.07748033336789052,354.99,1,Adult
EP32,normal,batch_3.feather,4,A_12_5,63621,578.46826171875,591.6368560791016,439.83285331726074,937.0766447544613,0.49953863541306925,0.504127366526464,0.6511737654736941,0.07100438241524809,504.06,1,Adult
EP32,normal,batch_3.feather,5,A_12_6,63754,584.9906616210938,569.2265625,445.4057388305664,929.8490338881114,0.5002838816431211,0.5224322682825008,0.648367204350771,0.07238396202448732,711.17,1,Adult
EP32,normal,batch_3.feather,6,A_12_7,57742,594.06689453125,518.2633972167969,457.7789840698242,911.6326136820134,0.49820093551204725,0.5740283722119035,0.649142136181364,0.0859148994957646,8127.19,1,Adult
EP32,normal,batch_3.feather,7,A_13_1,46089,519.097412109375,597.7594451904297,442.0740280151367,906.7568162514956,0.4931537848945291,0.5006296783383707,0.6760316423112095,0.08591171505391068,214.83,1,Adult
EP32,normal,batch_3.feather,8,A_13_2,49277,518.4396362304688,597.5202865600586,437.77455139160156,904.1331246623548,0.4932060232195105,0.501230129461297,0.6710874317592268,0.08293480302658068,206.47,1,Adult
EP32,normal,batch_3.feather,9,A_13_3,52319,518.77587890625,597.0458495616913,439.73942947387695,904.9657036859489,0.4938521609801901,0.5018938459459927,0.6703731940877325,0.08287185922745605,208.94,1,Adult
EP32,normal,batch_3.feather,10,C_2__1,54758,562.1885604858398,598.9075164794922,363.7503967285156,898.3654835070894,0.48376125729234287,0.4996152993841191,0.8182858729005178,0.12927501714577233,483.89,0,Child
EP32,normal,batch_3.feather,11,A_13_4,57084,528.8046875,593.7726440429688,445.839298248291,911.5772211931798,0.5034302746370146,0.5028160418550669,0.6700772264212098,0.0832263372767495,237.04,1,Adult
EP32,normal,batch_3.feather,12,A_13_5,62259,528.6765747070312,587.8183441162109,443.66328048706055,906.5684931520748,0.5043178115586073,0.5069759277574111,0.6626868289394763,0.07978502417308424,235.18,1,Adult
EP32,normal,batch_3.feather,13,A_13_6,59971,535.8065185546875,540.5330505371094,451.1060733795166,884.7379801322727,0.47889433618428723,0.5504647731993584,0.6627000187892051,0.08941912548211652,366.49,1,Adult
EP32,normal,batch_3.feather,14,A_13_7,52250,577.713623046875,500.2530822753906,452.19896125793457,887.9696375117398,0.4964531011212223,0.5915076676463857,0.6541376158598134,0.09393821860456876,7929.82,1,Adult
EP32,normal,batch_3.feather,15,A_13_8,42693,566.2576293945312,442.47442626953125,456.6194877624512,851.4297841598616,0.5114321139131018,0.6699373653290395,0.6511305498879755,0.12010982927694464,19117.78,1,Adult
EP32,normal,batch_3.feather,16,A_14_6,47328,546.1893310546875,506.4840087890625,446.7052116394043,868.5587962958012,0.47766798683994394,0.5869958595893809,0.6685221414226407,0.10140407378866005,211.87,1,Adult
EP32,normal,batch_3.feather,17,A_14_7,40502,553.005859375,454.34197998046875,451.4417495727539,846.1925126902057,0.4750044412729011,0.6503654852482595,0.6630561903495279,0.1198008984172627,8588.41,1,Adult
EP32,normal,batch_3.feather,18,A_14_8,33860,551.839599609375,422.24224853515625,454.59406757354736,830.3440409963348,0.4928317085652407,0.6959976305183938,0.6555628942020246,0.13118603438394688,14422.24,1,Adult
EP32,normal,batch_3.feather,19,A_15_9,23893,539.7080078125,361.65283203125,449.9743118286133,790.2875336982073,0.4790046610763109,0.8181553063574547,0.6606892188133031,0.17255277894558774,12458.6,1,Adult
EP32,normal,batch_3.feather,20,A_12_8,42229,578.8273315429688,430.31866455078125,447.4550247192383,848.7822052496246,0.5090899769374969,0.6915502384759399,0.6689056941741501,0.13190109095974678,17108.25,1,Adult
EP32,normal,batch_3.feather,21,C_2__2,58862,562.7256164550781,599.2849197387695,364.5603485107422,899.2812586434374,0.48347442021771403,0.499552937794315,0.8128003806267022,0.1272276892219669,503.65,0,Child
EP32,normal,batch_3.feather,22,A_12__8,41639,578.1845703125,430.3144836425781,446.14717864990234,847.6527928328301,0.5081986231060583,0.30845275837912123,0.6705828403344289,0.132468421123638,16648.75,1,Adult
EP32,normal,batch_3.feather,23,C_2__3,62985,571.4633178710938,594.3994512557983,363.8499298095703,901.2590098012125,0.47615769120871637,0.5021062174951285,0.8052924443616989,0.12418198160894062,607.88,0,Child
EP32,normal,batch_3.feather,24,C_2__4,75410,565.6158447265625,596.4802627563477,374.2299346923828,903.193241606407,0.4743388586359504,0.5016449531604585,0.79638665546955,0.123856872586941,718.1,0,Child
EP32,normal,batch_3.feather,25,C_2__5,87811,559.2714004516602,594.7471313476562,370.92645263671875,896.7134898478373,0.467710580172987,0.49688562699736166,0.7976291087592805,0.12476790803153445,831.74,0,Child
EP32,normal,batch_3.feather,26,C_2__6,88917,545.1481513977051,565.9053039550781,362.1375961303711,865.2045761251545,0.45445199785542595,0.471676647198772,0.8197633515011528,0.13812952116753288,995.07,0,Child
EP32,normal,batch_3.feather,27,C_2__7,92882,528.2597312927246,512.8632202148438,375.99403381347656,826.7155132316864,0.43547436378833865,0.41647872225795624,0.7686992467069297,0.13899227240674855,1417.85,0,Child
EP32,normal,batch_3.feather,28,C_3__1,37332,573.7886118888855,599.4439697265625,346.4877624511719,899.2331252257858,0.4868414003853343,0.49999837087776455,0.8368607250726902,0.1300686839557205,427.8,0,Child
EP32,normal,batch_3.feather,29,C_3__2,42517,578.4783096909523,596.7617416381836,353.29444885253906,903.0939589300544,0.4873017460252594,0.5014112535969512,0.8344787486582751,0.13110548478503967,502.03,0,Child
EP32,normal,batch_3.feather,30,C_3__3,48400,579.8851823806763,595.4127078056335,358.29052734375,905.0719415302683,0.484452923716629,0.502956061792337,0.8298803828986712,0.13098342934074705,612.64,0,Child
EP32,normal,batch_3.feather,31,C_1_0,69622,551.2023468017578,596.9884948730469,375.1687316894531,894.969757795214,0.46944054546097236,0.49871136147554274,0.7903447268673641,0.12316131063891948,629.57,0,Child
EP32,normal,batch_3.feather,32,C_3__4,55602,576.8656442165375,598.5144119262695,356.87315368652344,904.6280564867387,0.48548862542363697,0.500533643211574,0.8257813098164757,0.12885297787839536,625.59,0,Child
